INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION
20129129,08/16/2019 04:25:29 PM,,MAX,N,O,M,26,DE,N,Y,125.25,Y
141239,08/16/2019 04:35:05 PM,,MAX,Y,B,M,33,DE,N,Y,110-125.25,Y
20081038,08/16/2019 10:34:59 PM,,MIN,Y,O,M,55,SSR,N,N,,N
20119642,08/18/2019 10:33:00 AM,,MED,Y,B,M,28,DE,N,N,VTL 1192.2,N
20046646,08/18/2019 10:57:00 PM,,MAX,Y,B,M,30,DEP,N,N,110-125.25,Y
34507,08/20/2019 01:27:17 AM,,MIN,Y,O,M,46,DE,N,N,160.15,Y
20206508,08/21/2019 12:47:00 PM,,MED,N,O,M,34,DE,N,N,125.25,N
106251,08/21/2019 03:52:22 PM,,MIN,N,W,M,56,DE,N,N,110-160.15,N
75915,08/21/2019 04:48:03 PM,,MAX,Y,B,M,31,DE,N,Y,110-120.10,Y
39878,08/21/2019 08:21:33 PM,,MAX,N,O,M,30,DNS,N,Y,160.15,Y
20152914,08/22/2019 01:20:43 PM,,MAX,Y,B,M,25,DE,N,Y,110-125.27,Y
20206550,08/22/2019 07:03:36 PM,,MAX,Y,B,M,20,DE,N,Y,125.25,Y
64508,08/23/2019 12:47:31 PM,,MAX,N,B,M,38,DE,N,N,110-125.25,Y
20100403,08/23/2019 03:20:00 PM,,MAX,Y,B,M,40,DE,N,Y,215.15,Y
19756,08/24/2019 11:39:26 AM,,MAX,Y,O,M,34,DE,N,N,160.15,Y
131274,08/24/2019 11:42:30 AM,,MED,Y,O,M,55,SSR,N,N,,N
20045393,08/24/2019 07:53:59 PM,,MIN,N,O,M,48,DE,N,N,220.77,N
20096629,08/25/2019 10:34:09 PM,,MAX,Y,B,M,26,DE,N,Y,220.03,Y
73613,08/27/2019 04:23:00 PM,,MAX,N,B,M,32,DE,N,Y,265.03,Y
20046489,08/27/2019 08:54:03 PM,,MIN,N,B,M,41,DE,N,N,160.15,Y
20206656,08/28/2019 05:35:49 PM,,MED,Y,W,M,49,DE,N,N,125.25,N
20206660,08/28/2019 07:42:00 PM,,MAX,Y,B,M,23,DE,N,N,125.25,Y
82774,08/28/2019 08:47:13 PM,,MED,Y,O,M,37,DE,N,N,135.25,Y
20206700,08/30/2019 09:14:25 PM,,MIN,Y,W,M,53,SSR,N,N,,Y
88106,08/31/2019 09:58:41 PM,,MAX,N,O,M,33,DE,N,N,125.25,Y
20123372,09/01/2019 10:42:03 AM,,MAX,Y,W,M,26,DE,N,Y,125.25,Y
20206740,09/03/2019 01:05:00 PM,,MIN,N,O,M,28,DE,N,N,125.15,Y
119721,09/03/2019 05:05:00 PM,,MED,Y,B,M,43,DE,N,N,125.25,Y
54520,09/04/2019 12:24:28 AM,,MAX,Y,B,M,40,DEP,N,N,125.25,Y
20029802,09/04/2019 01:07:02 AM,,MED,Y,W,M,30,DE,N,Y,110-125.25,Y
20204381,09/05/2019 11:37:09 AM,,MED,Y,O,M,44,DE,N,N,130.65,N
20025720,09/05/2019 08:33:11 PM,,MED,Y,B,M,29,DE,N,N,110-125.25,Y
151448,09/06/2019 06:33:22 PM,,MED,Y,B,M,37,DE,N,N,125.25,Y
20206827,09/06/2019 07:56:11 PM,,MED,Y,A,M,52,DE,N,N,125.27,Y
20008630,09/07/2019 12:51:46 AM,,MAX,N,B,M,31,DE,N,N,220.18,Y
20206848,09/07/2019 07:09:33 PM,,MAX,Y,B,F,27,DE,N,N,110-125.25,Y
28736,09/10/2019 12:04:45 PM,,MAX,Y,O,M,39,DE,N,N,110-160.10,Y
6664,09/11/2019 12:34:54 AM,,MED,N,B,M,39,DE,N,N,125.25,Y
58576,09/12/2019 01:29:33 AM,,MED,N,B,M,40,DE,N,N,130.30,Y
136361,09/12/2019 01:07:29 PM,,MED,Y,B,M,31,DE,N,Y,110-120.10,Y
121263,09/15/2019 12:45:41 AM,,MAX,Y,O,M,31,DE,N,Y,160.15,Y
102520,09/15/2019 02:11:14 AM,,MED,N,O,M,39,DE,N,N,125.25,N
